genre,cluster,Label 1,Label 2,Label 3,,
kingston on indie,g6,indie,,,,
knoxville indie,g6,indie,,,,
la indie,g6,indie,,,,
lafayette indie,g6,indie,,,,
lancashire indie,g6,indie,,,,
lancaster pa indie,g6,indie,,,,
latvian indie,g6,indie,,,,
leicester indie,g6,indie,,,,
lexington ky indie,g6,indie,,,,
lithuanian indie,g6,indie,,,,
liverpool indie,g6,indie,,,,
lo-fi indie,g6,indie,,,,
louisville indie,g6,indie,,,,
lund indie,g6,indie,,,,
macedonian indie,g6,indie,,,,
maine indie,g6,indie,,,,
malaysian indie,g6,indie,,,,
malmo indie,g6,indie,,,,
manchester indie,g6,indie,,,,
manitoba indie,g6,indie,,,,
melbourne indie,g6,indie,,,,
memphis indie,g7,indie,,,,indie
mexican indie,g6,indie,,,,
miami indie,g6,indie,,,,
michigan indie,g6,indie,,,,
milan indie,g6,indie,,,,
milwaukee indie,g6,indie,,,,
minneapolis indie,g6,indie,,,,
mississippi indie,g6,indie,,,,
montana indie,g6,indie,,,,
monterrey indie,g6,indie,,,,
montreal indie,g6,indie,,,,
morelos indie,g6,indie,,,,
nantes indie,g6,indie,,,,
nashville indie,g6,indie,,,,
new delhi indie,g6,indie,,,,
new jersey indie,g6,indie,,,,
new orleans indie,g6,indie,,,,
newcastle indie,g6,indie,,,,
newcastle nsw indie,g6,indie,,,,
nice indie,g6,indie,,,,
north carolina indie,g6,indie,,,,
north east england indie,g6,indie,,,,
northern irish indie,g6,indie,,,,
norwegian indie,g6,indie,,,,
nottingham indie,g6,indie,,,,
nz indie,g6,indie,,,,
oakland indie,g6,indie,,,,
oc indie,g6,indie,,,,
ohio indie,g7,indie,,,,indie
ok indie,g6,indie,,,,
okc indie,g6,indie,,,,
olympia wa indie,g6,indie,,,,
omaha indie,g6,indie,,,,
ontario indie,g6,indie,,,,
orebro indie,g6,indie,,,,
orlando indie,g6,indie,,,,
oslo indie,g6,indie,,,,
oth indie,g6,indie,,,,
ottawa indie,g6,indie,,,,
oulu indie,g6,indie,,,,
oxford indie,g6,indie,,,,
panamanian indie,g6,indie,,,,
paraguayan indie,g6,indie,,,,
pei indie,g6,indie,,,,
perth indie,g6,indie,,,,
peruvian indie,g6,indie,,,,
philly indie,g6,indie,,,,
phoenix indie,g6,indie,,,,
pinoy indie,g6,indie,,,,
pittsburgh indie,g6,indie,,,,
polish indie,g6,indie,,,,
portland indie,g6,indie,,,,
portuguese indie,g6,indie,,,,
puerto rican indie,g6,indie,,,,
quebec indie,g6,indie,,,,
reading indie,g6,indie,,,,
rennes indie,g6,indie,,,,
rhode island indie,g6,indie,,,,
rochester mn indie,g6,indie,,,,
rochester ny indie,g6,indie,,,,
romanian indie,g6,indie,,,,
rome indie,g6,indie,,,,
russian indie,g6,indie,,,,
sacramento indie,g6,indie,,,,
san diego indie,g6,indie,,,,
san marcos tx indie,g6,indie,,,,
saskatchewan indie,g6,indie,,,,
scottish indie,g7,indie,,,,indie
seattle indie,g6,indie,,,,
sheffield indie,g6,indie,,,,
slc indie,g6,indie,,,,
slovak indie,g6,indie,,,,
south carolina indie,g6,indie,,,,
south dakota indie,g6,indie,,,,
southampton indie,g6,indie,,,,
springfield mo indie,g6,indie,,,,
stl indie,g6,indie,,,,
swiss indie,g6,indie,,,,
sydney indie,g6,indie,,,,
taiwan indie,g6,indie,,,,
taiwanese indie,g6,indie,,,,
tamaulipas indie,g6,indie,,,,
tampa indie,g6,indie,,,,
tempe indie,g6,indie,,,,
thai indie,g6,indie,,,,
toronto indie,g6,indie,,,,
triangle indie,g6,indie,,,,
tucson indie,g6,indie,,,,
tulsa indie,g6,indie,,,,
turin indie,g6,indie,,,,
ukrainian indie,g6,indie,,,,
uppsala indie,g6,indie,,,,
utah indie,g6,indie,,,,
vancouver indie,g6,indie,,,,
vegas indie,g6,indie,,,,
venezuelan indie,g6,indie,,,,
veracruz indie,g6,indie,,,,
vermont indie,g6,indie,,,,
victoria bc indie,g6,indie,,,,
vienna indie,g6,indie,,,,
washington indie,g6,indie,,,,
welsh indie,g6,indie,,,,
west virginia indie,g6,indie,,,,
western mass indie,g6,indie,,,,
wisconsin indie,g6,indie,,,,
worcester ma indie,g6,indie,,,,
wyoming indie,g6,indie,,,,
york indie,g6,indie,,,,
ambient industrial,g6,metal,industrial,,,
british industrial,g6,metal,industrial,,,
industrial,g6,metal,industrial,,,
martial industrial,g6,metal,industrial,,,
acid jazz,g6,jazz,,,,
arabic jazz,g6,jazz,,,,
avant-garde jazz,g6,jazz,,,,
bebop,g1,jazz,,,,
belgian jazz,g6,jazz,,,,
big band,g1,jazz,,,,
bossa nova jazz,g6,jazz,,,,
brazilian jazz,g6,jazz,,,,
brazilian modern jazz,g6,jazz,,,,
british jazz,g6,jazz,,,,
canadian modern jazz,g6,jazz,,,,
chinese jazz,g6,jazz,,,,
classic japanese jazz,g6,jazz,,,,
contemporary jazz,g6,jazz,,,,
contemporary vocal jazz,g6,jazz,vocal,,,
cool jazz,g1,jazz,,,,
danish jazz,g6,jazz,,,,
dark jazz,g6,jazz,,,,
deep free jazz,g6,jazz,,,,
deep smooth jazz,g6,jazz,,,,
dinner jazz,g6,jazz,,,,
ecm-style jazz,g6,jazz,,,,
electro jazz,g6,jazz,,,,
ethio-jazz,g6,jazz,,,,
experimental jazz,g6,jazz,,,,
finnish jazz,g6,jazz,,,,
finnish modern jazz,g6,jazz,,,,
free jazz,g6,jazz,,,,
french jazz,g6,jazz,,,,
german jazz,g6,jazz,,,,
gypsy jazz,g6,jazz,,,,
harmonica jazz,g6,jazz,,,,
icelandic jazz,g6,jazz,,,,
indian jazz,g6,jazz,,,,
indie jazz,g6,jazz,indie,,,
indonesian jazz,g6,jazz,,,,
italian jazz,g6,jazz,,,,
japanese jazz,g6,jazz,,,,
japanese jazz fusion,g6,jazz,,,,
japanese jazztronica,g6,jazz,,,,
japanese vocal jazz,g6,jazz,vocal,,,
jazz,g1,jazz,,,,
jazz accordion,g6,jazz,,,,
jazz boom bap,g6,jazz,,,,
jazz brass,g6,jazz,,,,
jazz chileno,g6,jazz,,,,
jazz clarinet,g6,jazz,,,,
jazz cubano,g6,jazz,,,,
jazz double bass,g6,jazz,,,,
jazz drums,g6,jazz,,,,
jazz flute,g6,jazz,,,,
jazz funk,g6,jazz,funk,,,
jazz fusion,g1,jazz,,,,
jazz guitar,g6,jazz,,,,
jazz harp,g6,jazz,,,,
jazz metal,g6,jazz,metal,,,
jazz mexicano,g6,jazz,,,,
jazz orchestra,g6,jazz,,,,
jazz organ,g6,jazz,,,,
jazz piano,g1,jazz,,,,
jazz pop,g6,jazz,pop,,,
jazz quartet,g6,jazz,,,,
jazz saxophone,g1,jazz,,,,
jazz trio,g6,jazz,,,,
jazz trombone,g6,jazz,,,,
jazz trumpet,g6,jazz,,,,
jazz venezolano,g6,jazz,,,,
jazz vibraphone,g6,jazz,,,,
jazz violin,g6,jazz,,,,
jazztronica,g7,jazz,,,,
latin jazz,g6,jazz,,,,
modern big band,g6,jazz,,,,
modern free jazz,g6,jazz,,,,
modern jazz piano,g6,jazz,,,,
modern jazz trio,g6,jazz,,,,
new orleans jazz,g6,jazz,,,,
norwegian contemporary jazz,g6,jazz,,,,
norwegian jazz,g6,jazz,,,,
nu jazz,g7,jazz,,,jazz,
polish jazz,g6,jazz,,,,
polish modern jazz,g6,jazz,,,,
progressive jazz fusion,g6,jazz,,,,
samba-jazz,g6,jazz,,,,
ska jazz,g6,jazz,,,,
smooth jazz,g6,jazz,,,,
soul jazz,g1,jazz,,,,
south african jazz,g6,jazz,,,,
spiritual jazz,g6,jazz,,,,
straight-ahead jazz,g6,jazz,,,,
swedish jazz,g6,jazz,,,,
swedish jazz orkester,g6,jazz,,,,
trad jazz catala,g6,jazz,,,,
turkish jazz,g6,jazz,,,,
turkish modern jazz,g6,jazz,,,,
uk contemporary jazz,g6,jazz,,,,
vintage jazz,g6,jazz,,,,
vocal jazz,g1,jazz,vocal,,,
west african jazz,g6,jazz,,,,
anime latino,g6,latin,,,,
boogaloo,g6,latin,,,,
bossa nova,g6,latin,,,,
calypso,g6,latin,,,,
canadian latin,g6,latin,,,,
cumbia,g6,latin,,,,
cumbia andina mexicana,g6,latin,,,,
cumbia boliviana,g6,latin,,,,
cumbia chilena,g6,latin,,,,
cumbia colombiana regia,g6,latin,,,,
cumbia ecuatoriana,g6,latin,,,,
cumbia lagunera,g6,latin,,,,
cumbia paraguaya,g6,latin,,,,
cumbia peruana,g6,latin,,,,
cumbia ranchera,g6,latin,,,,
cumbia salvadorena,g6,latin,,,,
cumbia santafesina,g6,latin,,,,
cumbia sonidera,g6,latin,,,,
cumbia uruguaya,g6,latin,,,,
cumbia villera,g6,latin,,,,
deep latin alternative,g6,latin,,,,
deep latin christian,g6,latin,,,,
electro latino,g6,latin,,,,
latin,g6,latin,,,,
latin afrobeat,g6,latin,,,,
latin alternative,g6,latin,alternative,,,
latin christian,g6,latin,,,,
latin classical,g6,latin,,,,
latinx alternative,g6,latin,alternative,,,
merengue,g6,latin,,,,
merengue tipico,g6,latin,,,,
neotango,g6,latin,,,,
nu-cumbia,g6,latin,,,,
nuevo tango,g6,latin,,,,
punta,g6,latin,,,,
roda de samba,g6,latin,,,,
samba,g6,latin,,,,
samba de roda,g6,latin,,,,
samba moderno,g6,latin,classical,,,
samba-enredo,g6,latin,,,,
tango,g6,latin,,,,
tango cancion,g6,latin,,,,
tropicalia,g6,latin,,,,
vintage tango,g6,latin,,,,
zouk,g6,latin,,,,
zouk riddim,g6,latin,,,,
alabama metal,g6,metal,,,,
alternative metal,g6,metal,alternative,,,
ambient black metal,g2,metal,,,,
american metalcore,g6,metal,,,,
argentine heavy metal,g6,metal,,,,
atlanta metal,g6,metal,,,,
atmospheric black metal,g2,metal,,,,
atmospheric post-metal,g6,metal,,,,
australian metal,g6,metal,,,,
australian metalcore,g6,metal,,,,
autonomous black metal,g2,metal,,,,
avant-garde metal,g6,metal,,,,
birmingham metal,g6,metal,,,,
black metal,g2,metal,,,,
boston metal,g6,metal,,,,
brazilian groove metal,g4,metal,groove,,,
brazilian metal,g4,metal,,,,
brazilian thrash metal,g4,metal,,,,
british black metal,g6,metal,,,,
british death metal,g6,metal,,,,
british power metal,g6,metal,,,,
brutal death metal,g6,metal,,,,
buffalo ny metal,g6,metal,,,,
canadian metal,g6,metal,,,,
canadian metalcore,g6,metal,,,,
caribbean metal,g6,metal,,,,
celtic metal,g6,metal,,,,
christian metal,g6,metal,,,,
christian metalcore,g6,metal,,,,
christian power metal,g6,metal,,,,
cleveland metal,g6,metal,,,,
comic metal,g6,metal,,,,
cyber metal,g6,metal,,,,
czech metal,g6,metal,,,,
danish metal,g6,metal,,,,
death metal,g6,metal,,,,
deep melodic metalcore,g6,metal,,,,
doom metal,g6,metal,,,,
drone metal,g6,metal,,,,
dub metal,g6,metal,dub,,,
dutch death metal,g6,metal,,,,
dutch metal,g6,metal,,,,
finnish death metal,g6,metal,,,,
finnish heavy metal,g6,metal,,,,
finnish metal,g6,metal,,,,
finnish power metal,g6,metal,,,,
florida death metal,g6,metal,,,,
folk metal,g6,metal,folk,,,
french death metal,g6,metal,,,,
french metal,g6,metal,,,,
funk metal,g6,metal,funk,,,
german heavy metal,g6,metal,,,,
german metal,g6,metal,,,,
german metalcore,g6,metal,,,,
german power metal,g6,metal,,,,
german thrash metal,g6,metal,,,,
glam metal,g6,metal,,,,
gothenburg metal,g6,metal,,,,
gothic black metal,g6,metal,,,,
gothic metal,g6,metal,,,,
gothic symphonic metal,g6,metal,,,,
groove metal,g6,metal,groove,,,
hungarian metal,g6,metal,,,,
icelandic metal,g6,metal,,,,
industrial metal,g6,metal,,,,
irish metal,g6,metal,,,,
italian gothic metal,g6,metal,,,,
italian metal,g6,metal,,,,
italian power metal,g6,metal,,,,
j-metal,g6,metal,,,,
japanese heavy metal,g6,metal,,,,
japanese metalcore,g6,metal,,,,
japanese power metal,g6,metal,,,,
kawaii metal,g6,metal,,,,
latin metal,g4,metal,latin,,,
louisiana metal,g6,metal,,,,
lovecraftian metal,g6,metal,,,,
melodic death metal,g6,metal,,,,
melodic groove metal,g6,metal,groove,,,
melodic metal,g6,metal,,,,
melodic metalcore,g6,metal,,,,
melodic power metal,g6,metal,,,,
metal,g6,metal,,,,
metal colombiano,g6,metal,,,,
metal guitar,g6,metal,,,,
metal mineiro,g4,metal,,,,
metal paranaense,g6,metal,,,,
metalcore,g6,metal,,,,
miami metal,g6,metal,,,,
minneapolis metal,g6,metal,,,,
neo metal,g6,metal,,,,
neo-trad metal,g6,metal,,,,
new wave of thrash metal,g6,metal,wave,,,
new york death metal,g6,metal,,,,
north carolina metal,g6,metal,,,,
norwegian black metal,g2,metal,,,,
norwegian death metal,g2,metal,,,,
norwegian metal,g2,metal,,,,
nu metal,g6,metal,,,,
nu-metalcore,g6,metal,,,,
nwobhm,g6,metal,,,,
opera metal,g6,metal,opera,,,
oriental metal,g6,metal,,,,
pagan black metal,g2,metal,,,,
portland metal,g6,metal,,,,
post-doom metal,g6,metal,,,,
post-metal,g6,metal,,,,
power metal,g6,metal,,,,
progressive groove metal,g6,metal,groove,,,
progressive metal,g6,metal,,,,
progressive metalcore,g6,metal,,,,
progressive power metal,g6,metal,,,,
quebec death metal,g6,metal,,,,
retro metal,g6,metal,,,,
russian heavy metal,g6,metal,,,,
russian metal,g6,metal,,,,
scottish metal,g6,metal,,,,
seattle metal,g6,metal,,,,
slavic folk metal,g6,metal,,,,
sludge metal,g6,metal,,,,
southern metal,g6,metal,,,,
spanish folk metal,g6,metal,,,,
spanish metal,g6,metal,,,,
speed metal,g6,metal,,,,
stoner metal,g6,metal,,,,
swedish black metal,g2,metal,,,,
swedish death metal,g6,metal,,,,
swedish doom metal,g6,metal,,,,
swedish heavy metal,g6,metal,,,,
swedish metal,g6,metal,,,,
swedish metalcore,g6,metal,,,,
swedish power metal,g6,metal,,,,
swedish progressive metal,g6,metal,,,,
swiss black metal,g6,metal,,,,
swiss metal,g6,metal,,,,
symphonic black metal,g6,metal,,,,
symphonic metal,g6,metal,,,,
technical black metal,g6,metal,,,,
technical death metal,g6,metal,,,,
technical groove metal,g6,metal,groove,,,
technical melodic death metal,g6,metal,,,,
tennessee metal,g6,metal,,,,
thrash metal,g6,metal,,,,
tolkien metal,g2,metal,,,,
turkish metal,g6,metal,,,,
uk doom metal,g6,metal,,,,
uk metalcore,g6,metal,,,,
us power metal,g6,metal,,,,
vancouver metal,g6,metal,,,,
venezuelan metal,g6,metal,,,,
viking black metal,g2,metal,,,,
viking metal,g2,metal,,,,
virginia metal,g6,metal,,,,
welsh metal,g6,metal,,,,
british grindcore,g6,metal,,,,
grindcore,g6,metal,,,,
french opera,g6,classical,opera,,,
german opera,g6,classical,opera,,,
italian opera,g6,classical,opera,,,
opera,g6,classical,opera,,,
432hz,g6,others,,,,
8-bit,g6,others,,,,
8d,g6,others,,,,
a cappella,g6,others,,,,
abstract,g7,others,,,,
accordeon,g6,others,,,,
accordion,g6,others,,,,
acousmatic,g6,others,,,,
acoustic chill,g6,others,,,,
acoustic opm,g6,others,,,,
adoracao,g6,others,,,,
adoracion,g6,others,,,,
adult standards,g6,others,,,,
adventista,g6,others,,,,
afghan traditional,g6,others,,,,
african percussion,g6,others,,,,
afrikaans,g6,others,,,,
afro psych,g6,others,,,,
afrobeat,g6,others,,,,
afrofuturism,g6,others,,,,
afrofuturismo brasileiro,g6,others,,,,
afroswing,g6,others,,,,
aggrotech,g6,others,,,,
ai,g6,others,,,,
alphorn,g6,others,,,,
alt-idol,g6,others,,,,
alternative americana,g6,others,,,,
alternative emo,g6,others,,,,
amapiano,g6,others,,,,
ambeat,g6,others,,,,
american choir,g6,others,,,,
american early music,g6,others,,,,
american oi,g6,others,,,,
american primitive,g6,others,,,,
american romanticism,g6,others,,,,
american shoegaze,g6,others,,,,
anglican liturgy,g6,others,,,,
animal singing,g6,others,,,,
anime,g6,others,,,,
anime score,g6,others,,,,
anthem emo,g6,others,,,,
anthem worship,g6,others,,,,
antideutsche,g6,others,,,,
arabesk,g6,others,,,,
argentine telepop,g6,others,,,,
asmr,g6,others,,,,
atmosphere,g6,others,,,,
atmospheric dnb,g6,others,,,,
atmospheric sludge,g6,others,,,,
aussie drill,g6,others,,,,
aussietronica,g6,others,,,,
austin americana,g6,others,,,,
australian children's music,g6,others,,,,
australian indigenous,g6,others,,,,
australian psych,g6,others,,,,
australian talent show,g6,others,,,,
austro-german modernism,g6,others,,,,
autoharp,g6,others,,,,
avant-garde,g6,others,,,,
axe,g6,others,,,,
azeri traditional,g6,others,,,,
azonto,g6,others,,,,
azontobeats,g6,others,,,,
bachata,g6,others,,,,
bachata dominicana,g6,others,,,,
background music,g6,others,,,,
background piano,g6,others,,,,
baglama,g6,others,,,,
bahai,g6,others,,,,
baiao,g6,others,,,,
bajki,g6,others,,,,
balearic,g6,others,,,,
balkan brass,g6,others,,,,
ballet class,g6,others,,,,
ballroom,g6,others,,,,
banda,g6,others,,,,
banda caliente,g6,others,,,,
banda carnavalera,g6,others,,,,
bandolim,g6,others,,,,
bandoneon,g6,others,,,,
bangla,g6,others,,,,
banjo,g7,others,,,,
bansuri,g6,others,,,,
barbershop,g6,others,,,,
bard,g6,others,,,,
barnalog,g6,others,,,,
barnasogur,g6,others,,,,
barnemusikk,g6,others,,,,
barnmusik,g6,others,,,,
bass music,g6,others,,,,
basshall,g6,others,,,,
batak,g6,others,,,,
batida,g6,others,,,,
batidao romantico,g6,others,,,,
bboy,g6,others,,,,
beach music,g6,others,,,,
beat italiano,g6,others,,,,
beat poetry,g6,others,,,,
beatboxing,g6,others,,,,
berlin school,g6,others,,,,
bernu dziesmas,g6,others,,,,
bhajan,g6,others,,,,
bhangra,g6,others,,,,
big room,g6,edm,house,,,
binaural,g6,others,,,,
bitpop,g7,others,,,,
black 'n' roll,g2,others,,,,
black comedy,g6,others,comedy,,,
black thrash,g2,others,,,,
blackened crust,g2,others,,,,
blackgaze,g6,others,,,,
blaskapelle,g6,others,,,,
blues latinoamericano,g6,others,,,,
blues mexicano,g6,others,,,,
bmore,g6,others,,,,
bolero,g6,others,,,,
bolero cubano,g6,others,,,,
boom bap,g6,others,,,,
boom bap brasileiro,g6,others,,,,
bounce,g6,others,,,,
bouzouki,g6,others,,,,
boy band,g6,others,,,,
brass band,g6,others,,,,
brass ensemble,g6,others,,,,
brazilian bass,g6,others,,,,
brazilian percussion,g6,others,,,,
brega romantico,g6,others,,,,
bristol electronic,g6,others,,,,
british children's music,g6,others,,,,
british choir,g6,others,,,,
british comedy,g6,others,comedy,,,
british experimental,g6,others,,,,
british invasion,g7,others,,,,
british soundtrack,g6,others,,,,
broadway,g6,others,,,,
brooklyn drill,g6,others,,,,
brostep,g6,others,,,,
bulgarian experimental,g6,others,,,,
burmese traditional,g6,others,,,,
bush ballad,g6,others,,,,
c86,g6,others,,,,
cabaret,g6,others,,,,
cajun,g6,others,,,,
calming instrumental,g6,others,instrumental,,,
cambridge choir,g6,others,,,,
canadian americana,g6,others,,,,
canadian celtic,g6,others,,,,
canadian children's music,g6,others,,,,
canadian comedy,g6,others,comedy,,,
canadian experimental,g6,others,,,,
canadian indigenous,g6,others,,,,
canadian psychedelic,g6,others,,,,
canadian soundtrack,g6,others,,,,
cancion infantil mexicana,g6,others,,,,
cancion melodica,g6,others,,,,
cantautor,g6,others,,,,
cante flamenco,g6,others,,,,
canterbury scene,g6,others,,,,
cantopop,g6,others,,,,
canzone d'autore,g6,others,,,,
canzone genovese,g6,others,,,,
canzone napoletana,g6,others,,,,
carnatic,g6,others,,,,
carnatic instrumental,g6,others,instrumental,,,
carnaval,g6,others,,,,
carnaval cadiz,g6,others,,,,
carnaval limburg,g6,others,,,,
cartoon,g6,others,,,,
cathedral choir,g6,others,,,,
cello,g6,others,,,,
celtic,g6,others,,,,
cha-cha-cha,g6,others,,,,
chakra,g6,others,,,,
chalga,g6,others,,,,
chamame,g6,others,,,,
champeta,g6,others,,,,
chanson,g6,others,,,,
chanson paillarde,g6,others,,,,
charanga,g6,others,,,,
charango,g6,others,,,,
chicago drill,g6,others,,,,
chicha,g6,others,,,,
children's choir,g6,others,,,,
children's music,g6,others,,,,
children's story,g6,others,,,,
chilena,g6,others,,,,
chill guitar,g6,others,,,,
chill out,g6,others,,,,
chillhop,g6,others,,,,
chillstep,g6,others,,,,
chinderlieder,g6,others,,,,
chinese audiophile,g6,others,,,,
chinese drama ost,g6,others,,,,
chinese instrumental,g6,others,instrumental,,,
chinese manyao,g6,others,,,,
chinese minyao,g6,others,,,,
chinese soundtrack,g6,others,,,,
chinese traditional,g6,others,,,,
chiptune,g6,others,,,,
chopped and screwed,g6,others,,,,
choral,g6,others,,,,
choro,g6,others,,,,
christelijk,g6,others,,,,
christian a cappella,g6,others,,,,
christian music,g6,others,,,,
christian relaxative,g6,others,,,,
christian uplift,g6,others,,,,
christmas instrumental,g6,others,instrumental,,,
christmas product,g6,others,,,,
chunchaca,g6,others,,,,
chutney,g6,others,,,,
circuit,g6,others,,,,
circus,g6,others,,,,
classic afrobeat,g6,others,,,,
classic bhangra,g6,others,,,,
classic bollywood,g6,others,,,,
classic cantopop,g6,others,,,,
classic eurovision,g6,others,,,,
classic girl group,g6,others,,,,
classic hardstyle,g6,others,,,,
classic iskelma,g6,others,,,,
classic mandopop,g6,others,,,,
classic opm,g6,others,,,,
classic praise,g6,others,,,,
classic soundtrack,g6,others,,,,
classify,g6,others,,,,
clawhammer banjo,g6,others,,,,
clean comedy,g6,others,comedy,,,
coco,g6,others,,,,
college a cappella,g6,others,,,,
comedy,g6,others,comedy,,,
comic,g6,others,,,,
commons,g6,others,,,,
complextro,g6,others,,,,
concert band,g6,others,,,,
contemporary choir,g6,others,,,,
contemporary post-bop,g1,others,,,,
contrabass,g6,others,,,,
copla,g6,others,,,,
corrido,g6,others,,,,
corridos cristianos,g6,others,,,,
corridos tumbados,g6,others,,,,
corrosion,g6,others,,,,
cosmic american,g7,others,,,,
cowboy western,g6,others,,,,
crossover thrash,g6,others,,,,
crunk,g6,others,,,,
cuarteto,g6,others,,,,
cuatro venezolano,g6,others,,,,
cuban alternative,g6,others,,,,
cuban rumba,g6,others,,,,
cubaton,g6,others,,,,
cueca chilena,g6,others,,,,
cyberpunk,g6,others,,,,
cymraeg,g6,others,,,,
dabke,g6,others,,,,
dainuojamoji poezija,g6,others,,,,
dakke dak,g6,others,,,,
dangdut,g6,others,,,,
dangdut koplo,g6,others,,,,
dangdut remix,g6,others,,,,
dansband,g6,others,,,,
danseband,g6,others,,,,
dansktop,g6,others,,,,
dark cabaret,g6,others,,,,
dark clubbing,g6,others,,,,
darkstep,g6,others,,,,
darksynth,g6,others,,,,
death 'n' roll,g6,others,,,,
deathcore,g6,others,,,,
deathgrass,g6,others,,,,
deathgrind,g6,others,,,,
deathrash,g4,others,,,,
deathstep,g6,others,,,,
deconstructed club,g6,others,,,,
deep adult standards,g6,others,,,,
deep big room,g6,edm,house,,,
deep chill,g6,others,,,,
deep comedy,g6,others,comedy,,,
deep flow,g6,others,,,,
deep freestyle,g6,others,,,,
deep idm,g6,others,,,,
deep liquid,g6,others,,,,
deep motown,g6,r&b,,,,
deep new americana,g6,others,,,,
deep norteno,g6,others,,,,
deep rai,g6,others,,,,
deep regional mexican,g6,others,,,,
deep soundtrack,g6,others,,,,
deep talent show,g6,others,,,,
dembow,g6,others,,,,
demoscene,g6,others,,,,
denpa-kei,g6,others,,,,
detske pisnicky,g6,others,,,,
detskie pesni,g6,others,,,,
dhrupad,g6,others,,,,
disney,g6,others,,,,
disney espanol,g6,others,,,,
dixieland,g6,others,,,,
diy emo,g6,others,,,,
djent,g6,others,,,,
dong-yo,g6,others,,,,
double drumming,g7,others,,,,
doujin,g6,others,,,,
drama,g6,others,,,,
dreamgaze,g6,others,,,,
dreamo,g6,others,,,,
drift,g7,others,,,,
drill,g6,others,,,,
drill and bass,g6,others,,,,
drill espanol,g6,others,,,,
drill francais,g6,others,,,,
drill tuga,g6,others,,,,
drone,g7,others,,,,
duduk,g6,others,,,,
dunedin sound,g6,others,,,,
dungeon synth,g2,others,,,,
duranguense,g6,others,,,,
dutch americana,g6,others,,,,
dutch cabaret,g6,others,,,,
dutch dnb,g6,others,,,,
dutch drill,g6,others,,,,
dutch moombahton,g6,others,,,,
dutch prog,g6,others,,,,
e6fi,g7,others,,,,
early avant garde,g6,others,,,,
early music,g6,others,,,,
early music choir,g6,others,,,,
early music ensemble,g6,others,,,,
early romantic era,g6,others,,,,
easy listening,g6,others,,,,
easycore,g6,others,,,,
ebm,g6,others,,,,
egyptian traditional,g6,others,,,,
electra,g6,others,,,,
electric bass,g6,others,,,,
electro bailando,g6,others,,,,
electro trash,g6,others,,,,
electro-industrial,g6,others,,,,
electrofox,g6,others,,,,
electronic djent,g6,others,,,,
electronica argentina,g6,edm,electronica,,,
emo,g6,others,,,,
emo mexicano,g6,others,,,,
emocore,g6,others,,,,
enka,g6,others,,,,
entehno,g6,others,,,,
environmental,g6,others,,,,
epic doom,g6,others,,,,
epicore,g6,others,,,,
erhu,g6,others,,,,
escape room,g7,others,,,,
etherpop,g7,others,,,,
ethnomusicology,g6,others,,,,
euphoric hardstyle,g6,others,,,,
eurovision,g6,others,,,,
exotica,g6,others,,,,
experimental,g7,others,,,,experimental
experimental bass,g6,others,,,,
experimental guitar,g6,others,,,,
fado,g6,others,,,,
filmi,g6,others,,,,
filthstep,g6,others,,,,
final fantasy,g6,others,,,,
fingerstyle,g6,others,,,,
finlandssvenska musik,g6,others,,,,
finnish electro,g6,others,,,,
finnish worship,g6,others,,,,
flamenco,g6,others,,,,
flamenco guitar,g6,others,,,,
flamenco urbano,g6,others,,,,
flick hop,g6,others,,,,
fluxwork,g6,others,,,,
fo jing,g6,others,,,,
focus,g6,others,,,,
folclor afrocolombiano,g6,others,,,,
folclor colombiano,g6,others,,,,
folclore extremeno,g6,others,,,,
folclore jujeno,g6,others,,,,
folclore navarra,g6,others,,,,
folclore salteno,g6,others,,,,
folclore santiagueno,g6,others,,,,
folclore tucumano,g6,others,,,,
folkmusik,g6,others,,,,
folktronica,g6,others,,,,
football,g6,others,,,,
footwork,g6,others,,,,
forro,g6,others,,,,
forro de favela,g6,others,,,,
forro tradicional,g6,others,,,,
fourth world,g7,others,,,,
francoton,g6,others,,,,
frauenrap,g6,others,,,,
freakbeat,g7,others,,,,
free improvisation,g6,others,,,,
freestyle,g6,others,,,,
french dnb,g6,others,,,,
french movie tunes,g6,others,,,,
french psychedelic,g6,others,,,,
french romanticism,g6,others,,,,
french shoegaze,g7,others,,,,
french soundtrack,g6,others,,,,
french worship,g6,others,,,,
funana,g6,others,,,,
funeral doom,g6,others,,,,
future garage,g6,others,,,,
gaian doom,g6,others,,,,
gaita zuliana,g6,others,,,,
galante era,g6,others,,,,
gamecore,g6,others,,,,
gamelan,g6,others,,,,
garage psych,g7,others,,,,
gbvfi,g7,others,,,,
gengetone,g6,others,,,,
german choir,g6,others,,,,
german drill,g6,others,,,,
german electronica,g6,edm,electronica,,,
german literature,g6,others,,,,
german oi,g6,others,,,,
german romanticism,g6,others,,,,
german show tunes,g6,others,,,,
german soundtrack,g6,others,,,,
ghanaian alternative,g6,others,,,,
ghanaian traditional,g6,others,,,,
ghazal,g6,others,,,,
ghoststep,g6,others,,,,
girl group,g6,others,,,,
glee club,g6,others,,,,
glitch,g6,others,,,,
glitch hop,g6,others,,,,
glitchcore,g6,others,,,,
go-go,g6,others,,,,
goralski,g6,others,,,,
goregrind,g6,others,,,,
gothabilly,g7,others,,,,
gothic alternative,g6,others,,,,
gothic americana,g6,others,,,,
gotlandsk musik,g6,others,,,,
gqom,g6,others,,,,
