track_name,track_id,popularity,album_name,album_id,release_date,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres,country
Negaraku,0wNWzeA2HtZbUz6nrFhors,40,Negaraku,5O4z8uQKuT3L5gzH2P5HrH,2016-08-26,Joe Flizzow,28JPqJh7jsUuxus33Kfwe7,0.623,0.865,11,-3.636,0,0.228,0.5579999999999999,1.6899999999999997e-05,0.255,0.515,150.06,audio_features,0wNWzeA2HtZbUz6nrFhors,spotify:track:0wNWzeA2HtZbUz6nrFhors,https://api.spotify.com/v1/tracks/0wNWzeA2HtZbUz6nrFhors,https://api.spotify.com/v1/audio-analysis/0wNWzeA2HtZbUz6nrFhors,218666,4,"['malay rap', 'malaysian hip hop', 'malaysian indie', 'malaysian pop', 'rock kapak', 'singaporean hip hop']",Malaysia
Let's not fall in love - KR Ver.,0oZT2aKB40fzyHzqcXE3H3,40,MADE SERIES,4ls7QOvWzu4OGaQQSiKeDE,2016-02-03,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,0.6809999999999999,0.836,0,-4.236000000000001,1,0.0477,0.109,0.0,0.0988,0.649,124.96600000000001,audio_features,0oZT2aKB40fzyHzqcXE3H3,spotify:track:0oZT2aKB40fzyHzqcXE3H3,https://api.spotify.com/v1/tracks/0oZT2aKB40fzyHzqcXE3H3,https://api.spotify.com/v1/audio-analysis/0oZT2aKB40fzyHzqcXE3H3,212893,4,"['k-pop', 'k-pop boy group']",Malaysia
Mencuba,7gX4z4gcMQIJCKkZsBELr0,40,Mencuba,66NFO0eAo4wKQ1Y7BYGrlu,2019-04-12,Sufian Suhaimi,6KEEEdAqmCL7PYOrjZCnEa,0.522,0.40299999999999997,0,-7.952000000000001,1,0.0247,0.682,0.0,0.29,0.115,98.01,audio_features,7gX4z4gcMQIJCKkZsBELr0,spotify:track:7gX4z4gcMQIJCKkZsBELr0,https://api.spotify.com/v1/tracks/7gX4z4gcMQIJCKkZsBELr0,https://api.spotify.com/v1/audio-analysis/7gX4z4gcMQIJCKkZsBELr0,231452,4,['malaysian pop'],Malaysia
Lullaby,1aDarBap4uQgOt9k4fxWd8,40,Present : YOU,7h09nVKw1n6H86mPRBTzEL,2018-09-17,GOT7,6nfDaffa50mKtEOwR8g4df,0.727,0.888,0,-2.7560000000000002,1,0.0881,0.015,0.0,0.113,0.726,129.993,audio_features,1aDarBap4uQgOt9k4fxWd8,spotify:track:1aDarBap4uQgOt9k4fxWd8,https://api.spotify.com/v1/tracks/1aDarBap4uQgOt9k4fxWd8,https://api.spotify.com/v1/audio-analysis/1aDarBap4uQgOt9k4fxWd8,217486,4,"['k-pop', 'k-pop boy group']",Malaysia
Terasa Ada,3nYMZ5nLylkcDIy1sutpB9,40,Terasa Ada,6YVdKj02LDUZStBXTtBqoV,2017-08-18,Sufian Suhaimi,6KEEEdAqmCL7PYOrjZCnEa,0.494,0.644,0,-6.599,1,0.0292,0.113,0.00139,0.136,0.28,179.555,audio_features,3nYMZ5nLylkcDIy1sutpB9,spotify:track:3nYMZ5nLylkcDIy1sutpB9,https://api.spotify.com/v1/tracks/3nYMZ5nLylkcDIy1sutpB9,https://api.spotify.com/v1/audio-analysis/3nYMZ5nLylkcDIy1sutpB9,242072,4,['malaysian pop'],Malaysia
Terimaku Seadanya,7iJgqdg9eletm9rIZL56qA,40,Terimaku Seadanya,4FXaNS0mv8CnGgOvMeYyp9,2016-01-26,Misha Omar,5cpxHc2y6L3Jn3FWY3z94Q,0.527,0.375,6,-9.396,0,0.0274,0.638,1.03e-06,0.174,0.213,129.942,audio_features,7iJgqdg9eletm9rIZL56qA,spotify:track:7iJgqdg9eletm9rIZL56qA,https://api.spotify.com/v1/tracks/7iJgqdg9eletm9rIZL56qA,https://api.spotify.com/v1/audio-analysis/7iJgqdg9eletm9rIZL56qA,243520,4,"['classic malaysian pop', 'malaysian pop', 'rock kapak']",Malaysia
Capital Letters,2bllegdYt2WoYdbRZyJ730,40,"Capital Letters [From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""]",57fWbQLWV1JZdQwkQ2beG9,2018-01-12,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,0.6659999999999999,0.8140000000000001,0,-5.5360000000000005,1,0.0736,0.0333,7.02e-06,0.0535,0.478,99.90700000000001,audio_features,2bllegdYt2WoYdbRZyJ730,spotify:track:2bllegdYt2WoYdbRZyJ730,https://api.spotify.com/v1/tracks/2bllegdYt2WoYdbRZyJ730,https://api.spotify.com/v1/audio-analysis/2bllegdYt2WoYdbRZyJ730,219387,4,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",Malaysia
Anta Permana,5lr4DTs2cUZqFdFEnl9KqV,40,Anta Permana,0SIJzwMwU3nB5Q5rK4Xyke,2018-09-21,Dato' Sri Siti Nurhaliza,5d0bxRte3J74ZXyEGRL8uU,0.5820000000000001,0.757,2,-3.503,0,0.0453,0.363,0.0,0.37,0.489,120.141,audio_features,5lr4DTs2cUZqFdFEnl9KqV,spotify:track:5lr4DTs2cUZqFdFEnl9KqV,https://api.spotify.com/v1/tracks/5lr4DTs2cUZqFdFEnl9KqV,https://api.spotify.com/v1/audio-analysis/5lr4DTs2cUZqFdFEnl9KqV,204014,4,"['classic malaysian pop', 'malaysian pop']",Malaysia
Likes,4KXAulHeLjKCVoHrCAMdto,40,Rouge,5By9BZR5hxGhbkeq7sAcqZ,2019-07-12,Yuna,3kHVioJpVxlazAAKQ64pC1,0.43700000000000006,0.614,9,-6.909,1,0.318,0.6559999999999999,0.0,0.14800000000000002,0.655,81.12100000000001,audio_features,4KXAulHeLjKCVoHrCAMdto,spotify:track:4KXAulHeLjKCVoHrCAMdto,https://api.spotify.com/v1/tracks/4KXAulHeLjKCVoHrCAMdto,https://api.spotify.com/v1/audio-analysis/4KXAulHeLjKCVoHrCAMdto,215560,4,"['alternative r&b', 'malaysian pop']",Malaysia
Aku Sanggup,1fmj1mJzqYMGscgPo1pTYG,40,Aku Sanggup,6vUoDV42DHEejGaOahVprV,2016-01-13,Sufi Rashid,5PWVTaSK4hMtsF15AwAcKQ,0.305,0.6559999999999999,7,-4.75,0,0.0324,0.10400000000000001,0.0,0.307,0.256,167.84900000000002,audio_features,1fmj1mJzqYMGscgPo1pTYG,spotify:track:1fmj1mJzqYMGscgPo1pTYG,https://api.spotify.com/v1/tracks/1fmj1mJzqYMGscgPo1pTYG,https://api.spotify.com/v1/audio-analysis/1fmj1mJzqYMGscgPo1pTYG,242834,4,['malaysian pop'],Malaysia
